timestamp,client_id,bw_requested
2024-09-01 00:00:00,1,4842
2024-09-01 01:00:00,1,2386
2024-09-01 02:00:00,1,2227
2024-09-01 03:00:00,1,4181
2024-09-01 04:00:00,1,1880
2024-09-01 05:00:00,1,520
2024-09-01 06:00:00,1,3647
2024-09-01 07:00:00,1,2854
2024-09-01 08:00:00,1,4157
2024-09-01 09:00:00,1,2031
2024-09-01 10:00:00,1,3523
2024-09-01 11:00:00,1,3725
2024-09-01 12:00:00,1,846
2024-09-01 13:00:00,1,1786
2024-09-01 14:00:00,1,2946
2024-09-01 15:00:00,1,3707
2024-09-01 16:00:00,1,2681
2024-09-01 17:00:00,1,2225
2024-09-01 18:00:00,1,2579
2024-09-01 19:00:00,1,3661
2024-09-01 20:00:00,1,4330
2024-09-01 21:00:00,1,2927
2024-09-01 22:00:00,1,4398
2024-09-01 23:00:00,1,1443
2024-09-02 00:00:00,1,10
2024-09-02 01:00:00,1,2906
2024-09-02 02:00:00,1,2104
2024-09-02 03:00:00,1,1777
2024-09-02 04:00:00,1,882
2024-09-02 05:00:00,1,814
2024-09-02 06:00:00,1,3615
2024-09-02 07:00:00,1,241
2024-09-02 08:00:00,1,316
2024-09-02 09:00:00,1,2856
2024-09-02 10:00:00,1,2391
2024-09-02 11:00:00,1,1526
2024-09-02 12:00:00,1,3792
2024-09-02 13:00:00,1,4697
2024-09-02 14:00:00,1,680
2024-09-02 15:00:00,1,4839
2024-09-02 16:00:00,1,2642
2024-09-02 17:00:00,1,449
2024-09-02 18:00:00,1,4985
2024-09-02 19:00:00,1,1505
2024-09-02 20:00:00,1,3887
2024-09-02 21:00:00,1,877
2024-09-02 22:00:00,1,1882
2024-09-02 23:00:00,1,2837
2024-09-03 00:00:00,1,2497
2024-09-03 01:00:00,1,4670
2024-09-03 02:00:00,1,753
2024-09-03 03:00:00,1,952
2024-09-03 04:00:00,1,1379
2024-09-03 05:00:00,1,2457
2024-09-03 06:00:00,1,2855
2024-09-03 07:00:00,1,4408
2024-09-03 08:00:00,1,640
2024-09-03 09:00:00,1,2428
2024-09-03 10:00:00,1,4139
2024-09-03 11:00:00,1,3492
2024-09-03 12:00:00,1,62
2024-09-03 13:00:00,1,2122
2024-09-03 14:00:00,1,683
2024-09-03 15:00:00,1,1674
2024-09-03 16:00:00,1,2482
2024-09-03 17:00:00,1,2189
2024-09-03 18:00:00,1,2225
